,Unnamed: 0,course code,course name,teacher,comment time,chinese course name,body,mark,workload_num,year,semester,region（mainland2，international-3）
10,10,GE1401,University English,Mabel Wong,2020-09-01 17:35:00,大學英語,"Coursework 如下:
1) Weekly online assignment: mc 題, 有兩次attempt, 不難攞分(20%)
2) Infographic (圖文並茂的poster): Group project (3-4人一組), infographic 最好少字同多d 圖注釋, 睇落會簡潔d (20%)
3) Argumentative essay: 自己選topic (會派suggested topic handout俾你參考), 分兩次交, 有兩個分. 交左第一次draft後會有consult session (個人覺得越早consult越好,如可以的話, 可以快d 知道自己篇文章有咩不足) (20%+20%)
4) Self-Assessment: 寫你在呢個course 學到什麼&有咩睇法, 不過因為上年社會運動, self-assessment變成optional task(15%)
5) Participation: 不走堂同在課上踴躍答老師問題便可 (5%)",3.3,2,2019/20,SemA,
11,11,GE1101,Chinese Cultural Heritage in Modern Perspective,李果,2020-09-01 17:31:00,中國文化遺產與當代社會,讀BBA，DSE 中文 5*，中史 5*，完全無問題，應付自如。,4,0,2018/19,SemB,
12,12,GE1322,"Brain Machine Interface: Technology, Culture, and Society",rosa,2020-08-31 22:41:00,,有bio底同上堂聽書都會ok讀得過，真心抵reg，上一個ge course 就學左好多野咁,4.3,2,2018/19,SemA,
13,13,GE1401,University English,Sumie Chan,2020-08-31 17:48:00,大學英語,"The best teacher I have ever met! Sumie is super nice.
上堂好用心教，每次問問題都好耐心答，教書教得唔悶，英文又好聽。
infographic同 essay只要多d consult 就可以拎得高grade
Sumie仲要好關心同學，之前個段時間仲會主動關心下同學翻唔翻到學，驚同學翻學有困難。
呢個Tutor 教得好又好人又靚 唔reg就走寶",3.7,1,2019/20,SemA,3
14,14,GE1355,Sustainable Energy and Environmental Engineering,Walid DAOUD & ShauhratCHOPRA,2020-08-31 17:39:00,,"3 assignments and 1 test. Assignment 2 is a group project. 
There are a little bit calculations but really easy to handle. 
However since every one get a good result in assignment , it is hard to get high grade but also not easy to get low grade.",3,0,2019/20,Summer,3
15,15,GE2318,From Ancient Wisdom to Modern Science,"Guanrong CHEN, Ehsan NEKOUEI",2020-08-31 17:24:00,古代智慧與現代科學,"其實19/20 Sem B讀 但係呢個web無得揀
內容簡單易明，2個prof.整個ppt都整得好好，無phy chem bio底 淨睇ppt都讀得識，唔洗驚爛grade，每個禮拜交齊assignment就得，比成個禮拜做2題睇ppt就識既題目。",4,1,2018/19,SemB,
16,16,GE1101,Chinese Cultural Heritage in Modern Perspective,Li Guo,2020-08-31 16:52:00,中國文化遺產與當代社會,"【！！警世！！】
千其唔好聽下面啲打手講呢科靚grade轉鬆workload。。。功課數量唔多，但要嘥好多心機做，effort同grade完全不成正比。份final paper一人要做2000字點會workload細？？？？讀得辛苦grade又爛，咪L讀 \(^o^)/課堂係幾有趣嘅，但功課好少係關事，所以奉勸大家唔好浪費時間，呢科同你想像係差好遠。",2.7,3,2018/19,SemB,
17,17,GE1205,Green Economics,Peter,2020-08-30 02:42:00,綠色經濟學,"peter is nice
inclass assignment each lesson
but answers were discussed during lesson alr
one grp proj
one quiz
the duration of the quiz is a bit chur, cuz not much time for you to think
quite small workload
not suitable for those who works slowly",3.3,1,2019/20,Summer,3
18,18,GE1101,Chinese Cultural Heritage in Modern Perspective,李果,2020-08-29 03:07:00,中國文化遺產與當代社會,最緊要搵到好組員，最理想係文科底。,4,0,2018/19,SemB,
19,19,GE2303,Save the Earth: Sustainable Development,"LUO Xiaowei, Muhammad Shafique",2020-08-29 01:03:00,,"有4份assignment 只係有3份要交
1:BIM Essay or 4: Green technology Essay （10%） 
2: Group Project Presentation（10%）
3: Group Project Report （40%）
Mid Term （20%）
Exam （20%）要download GREET 去做grp project, 但係冇人有經驗用過，連ACE人都唔識，個RA教左一堂，最後叫我地自己上Youtube 睇tutorial. 個software好難用，份project最後好辛苦先做到。",3.7,3,2019/20,Summer,
20,20,GE1342,Light: from Double Rainbows to Optical Fibers,Chow Yuk Tak,2020-08-28 18:18:00,,"建議對physics 有興趣先好讀，冇興趣會好辛苦。
3個 test, 1project(report 2000 words+presentation+Q&A), 1Exam.
test 同 exam 要explain物理現象，英文表達能力要求高，而且concept要清，仲要畫diagram.
test評分標準比Exam輕手，好多人full mark，所以一分也不能少。
Project要搵好隊友以降低workload, presentation要準備好。
Exam好手緊，而且問題好刁鑽，要溫所有notes+lessons.",3,3,2019/20,Summer,
21,21,GE1214,Citizens and Criminal Justice,Jimmy,2020-08-28 17:51:00,,"Assignment:40/50
今年summer轉咗由Jimmy代教，佢作為一位執業多年的大律師，堂上面都分享咗好多佢見過的cases去幫助我地了解課題，雖然講書比較悶，但相對易明
Lecture有Roll call for class participation ，tutorial都會隨機分組討論然後搵一位代表去答問題，所以要準備的野唔多，而且唔識的話同gpmate傾然後就爭取做代表拎participation Mark
比較chur的係Assignment，尤其今個summer court有時唔開同埋減少咗座位令到好難去做Court report，而且份報告都要成2000字。但無論係Court report同presentation只要唔hea做都可以拎到比較高分。特別係presentation，內容跟足佢要求基本上可以滿分。
考試4選一，講過maximum 3000但實質寫得2000唔夠，題目唔難而且openbook，我覺得同tutorial的題目差唔多mindset
只可以話呢科係多勞多得，雖然8小時的Court visit好似workload大但係對我黎講無Group project咁多野要去take care",3.7,3,2019/20,Summer,
22,22,GE1204,Living with the Unexpected and Unknown in Modern Society,WONG Sai On,2020-08-27 11:23:00,生活在不能預測的現代社會,"19/20 semA
good good teacher
ez to get B+
but he leave this year, so9sad",3.3,1,2018/19,SemA,3
23,23,GE1352,How Your Brain Works,Jan Schnipp,2020-08-27 10:44:00,,"-Good grade course
-Have quiz twice a week 
-Total 5 quizzes but only count the highest 4
-Exam 50%, quizzes 50%
-Exam not difficult, but will test all lecture notes in the semester 
-If you pay your effort, you will have a good grade.",4.3,3,2019/20,SemA,3
24,24,GE1352,How Your Brain Works,Jan,2020-08-27 10:43:00,,絶對容易靚grade科 成績同努力成正比 tutor講堂幾好 有時會講下笑幾有趣 有5個quiz 計4個最高分嘅quiz 唔算太難 基本上溫好溫滿就得 ez course,4.3,2,2019/20,SemA,
25,25,GE1501,Chinese Civilisation - History and Philosophy,Lecture: 錢華 ; Tutorial: 盧嘉琪,2020-08-27 09:33:00,中國文化－歷史與哲學,"lecture走曬，堂課好簡單，淨係睇lecture notes已經handle到，每堂都有，記住一定要做！
tutorial輕鬆，1present，1final paper，踴躍上堂，多d問問題，同同學多d交流，A range不是夢",3.7,1,2019/20,Summer,
26,26,GE2301,Science and Technology: From Past to Future,Many,2020-08-27 00:12:00,科學與科技：過去與未來,"It is an ez course, very ez even for non-science and engineering students. (I am from college business.) The course covers a wide range of different topics in mechanical engineering which is interesting and informative. Professors and lecturers are generally friendly and helpful. I suggest all who need to fulfill the university GE area 3 requirement to take this course, even those with relatively less engineering and science background will be totally fine.",4.3,0,2018/19,SemA,3
27,27,GE1129,Creative Photography,Phil,2020-08-26 23:26:00,,"CM人 : 
CM仔有基本art sense會幾容易靚grade, 加上e科係好多影相堂既prerequisite, 如果你對影相有興趣就幾值得讀. 但係會由快門光圈基本開始講, 如你影開相就會有少少悶.非CM (creative media) 人 :
Art sense既野係好難捉摸同表達, 有時課堂會講到mood同情感個D抽像野, 正所謂get到就get到, get唔到就get唔到. 佢都會比refer你地睇開發下想像空間, 但如果平時冇咩藝術觸覺, 就要諗清楚.",3.7,2,2019/20,Summer,
28,28,GE1341,Life and Health,jeffory lau,2020-08-26 23:06:00,,"many biomedical science ppl are taking this course....so competitive...
If you are from another department have to consider again..",2.7,3,2018/19,SemA,3
29,29,GE1226,Youth in a Changing Society,Gloria and Gabriel,2020-08-26 22:09:00,,"Workload細但冇想像中咁好grade,canvas冇出各樣asm嘅細grade得Aims個大grade。Individual essay有consult過幾次同有盡用上堂教過嘅theories，估計係grp discussion成組做得太hea同埋唔係讀soc sci寫佢d essay冇咁著數所以grade唔好",3,2,2019/20,Summer,
30,30,GE2223,Interpersonal Skills and Positive Personal Development,Ray Chan,2020-08-26 17:47:00,積極個人成長及人際技巧,"個present係我咁耐以黎最用心嘅present
不過事後feedback話個題目收得唔夠窄
建議consult下佢再做最後得b+有D失望...",3.3,1,2017/18,Summer,
31,31,GE2129,Psychology for Young Professionals,Andus+Andy,2020-08-26 17:43:00,新晉專業人員心理學,"用左一晚做booklet+poster
雖然用嘅時間唔多
但如果有心整真係可以用好多時間
要自己預番
最緊要有好groupmates果陣consult Andy
佢比到好多意見我地
令我地可以做到更deep
不過Andy話唔教lu...",4,2,2017/18,SemB,
32,32,GE1326,Common Accidents in Modern Day City Life - Inevitable? Preventable?,Louis,2020-08-26 17:36:00,一般意外在現代都市生活中是否無可避免？或是可以預防？,"未試過有一堂要花嘅時間係咁少
我走晒D堂咁濟
exam都只係用左幾個鐘就溫晒（記得溫佢份past paper，mc會翻兜）
不過上過嘅一兩堂見到佢都會播下video咁 幾funLouis好好人
我想知自己mid term錯乜佢都會逐條同番我講",3.7,0,2018/19,SemA,
33,33,GE2248,Understanding Persuasion in Everyday Life,Raine,2020-08-26 17:30:00,說服力－理論及日常實踐,"只要你有好groupmate,
明白D concept,
拎A range冇難度！
仲會學到野我都係掛機
自己睇翻notes都明到D concepts
exam係open book
都幾輕鬆",4,1,2019/20,Summer,
34,34,GE1304,Visual Expression and Communication,Virginia Fung,2020-08-26 16:29:00,視象傳達,19/20 sem A 讀group project 好重要，主要係幾個學生一起做一個brand， 由logo 到products， assignment 1係poster design， 簡單表達意思為最好，之後就係signage case study（ week 5 還是幾可以學到 basic knowledge ）-（assignment 2），group project有兩次 presentation， 組員要溝通，認識設計 software最好，例如 ps。 因為個course需要考試，不過virginia 人不錯，出d 卷都唔算難，但係都要背書==,3.3,2,2018/19,SemB,
35,35,GE1304,Visual Expression and Communication,Virginia Fung,2020-08-26 16:28:00,視象傳達,"2019-2020 semB學生
Tutor really nice，上堂不算有趣，應該話係比較悶。但係d野都唔深，因爲考試唔難，所以基本考試之前認證溫下書都識曬！Assignment比較看重你既Software skills，所以不會PS,AI呢d既同學要慎簡。
Group project 非常看重隊友既Quality！（重點），一個team裏邊至少要有2個人熟悉software skills（最好揾d CM或者Archi既學生），如果唔係真係爛grade。*Tutor比分算鬆手",3.3,2,2018/19,SemB,
36,36,GE1501,Chinese Civilisation - History and Philosophy,大課: 林學忠 輔導: 李浩訓,2020-08-26 16:04:00,中國文化－歷史與哲學,"2019/20 Sem B
聽得出林學忠係有料，上堂講書會有啲快但係幾得意，佢唔會淨讀ppt ，佢會講吓一啲自己嘅有趣經歷所以唔會悶，我個人覺得佢仲講得有啲黃子華嘅風味李浩訓會比心機比啲comment 你，都會比足指引你點做，都係一個唔錯嘅導師",3.7,2,2019/20,SemA,
37,37,GE1313,Earthquakes,Paul and Wang,2020-08-26 15:41:00,地震,"Paul 教得幾好，有聽書就聽得明，個ppt 都有寫到啲佢上堂講到嘅野，最多都係take 吓佢計數嗰陣啲step
上Wang 嘅堂就一定要take note，佢大部份上堂講嘅野ppt 上面都冇，多數得圖，你對你記憶力有信心可以唔take
第一堂會叫你form gp (每組人數要睇返有幾多人reg 咗呢科，大概5-7人一組)，呢個gp 會跟足你成個course，無論係做classwork 定係gp project，所以一定一定一定要揀好隊友Classwork: 每一堂每一組都有一份要做，份野唔難，而且Paul 會比時間你做，唔會有咩大問題",4,2,2019/20,SemB,
38,38,GE1337,Urban Green City: Pollution and Solution,forget ／,2020-08-25 23:18:00,,"如果hea讀or求B唔太建議讀
太多notes&sources
而且唔太實用
課程唔算太難 但一定唔易",3.3,3,2019/20,Summer,
39,39,GE2256,Applications of Game Theory to Business,forget ／,2020-08-25 23:14:00,,"千其唔好讀
無錯依科比較鬆手
但絕對係令你懷疑人生
讀左幾堂apply左late drop
從來未試過一堂3個鐘完全聽唔明如何一句話
難到痴線 
利申GPA 3.3",,2,2018/19,SemA,
40,40,GE3206,China in World Affairs,A female,2020-08-25 17:31:00,,I am a year one business student and it is very difficult for me. Half of the class are non-local or exchange students. They always ask questions during the class. Many students study related subjects before. You also need to discuss in class. You may want to study this course if you like foreign teaching style.,,2,2019/20,SemA,3
41,41,GE1320,Engineering Your Health,C.W.Y Kennie et al.,2020-08-25 16:22:00,,"The examination is quite difficult. Even a small picture and details were used to be a part of quizzes - but it highly impacts and significant for this course. The examination consists of multiple choices, fill in the blank, and short writing. The key is to manage your time well and complete your confident part.(30%) Two-quizzes in first-half and later-half of the course
(40%) Group presentation
(30%) Final Examination",4,2,2019/20,Summer,3
42,42,GE2303,Save the Earth: Sustainable Development,"LUO Xiaowei, Muhammad Shafique",2020-08-25 11:24:00,,"Workload is not really heavy if you know what is going on, but you won't understand what is going on as the teacher doesn't teach well...
Originally need to download two software: GREET and BIM, for the course, but a lot of student complained in class so BIM was removed.
Exam is too vague, and the score given for final exam so low (ard 3x/100), but the grade was unexpected.Conclusion: I don't know what I have done, I don't know how I got this grade, but this course is annoying",3.7,3,2019/20,Summer,3
43,43,GE1109,Values and Justice in the Contemporary World,Lawrence,2020-08-24 23:55:00,,"Lots of content for philosophy. Lawrence is a nice tutor. You can ask him if you find difficulties. Amount of workload is okay, the guidelines of assignment however not clear enough.",3.3,2,2019/20,Summer,3
44,44,GE1226,Youth in a Changing Society,Gloria and Gabriel,2020-08-24 22:37:00,,"The heaviest workload is the 2k word essay. Other than that is ok. As long as you choose a good topic with quite deep analysis, the grade will be ok. Use theories from the lecture",3.7,2,2019/20,Summer,3
45,45,GE1501,Chinese Civilisation - History and Philosophy,Lecture: 黃佩賢; Tutorial: 黃海濤,2020-08-24 22:11:00,中國文化－歷史與哲學,好老實講中文能力好唔好同呢一科冇直接關係。我本身expect A Range，自問都畀咗好多心機落篇final report喥，但最後得B，相信係tutorial個prof比分比得緊手。Lecture: 好似當故仔咁聽，講下古代社會文化、道教等等，上堂都好輕鬆，Prof Wong仲會每次都早半個鐘落堂。本身on-site佢要你即日交一篇百零字嘅reflection，轉咗用zoom就變咗homework，隔一個星期交，150-200字。,3,2,2019/20,Summer,
46,46,GE1501,Chinese Civilisation - History and Philosophy,錢華,2020-08-24 21:33:00,中國文化－歷史與哲學,錢老師熱耽教學，秉持「獨立之精神，自由之思想」的宗旨，鼓勵學生多發問，多思考，多讀書。,4,2,2019/20,Summer,
47,47,GE1226,Youth in a Changing Society,Gabriel Gloria,2020-08-24 20:32:00,,"暑sem讀都好輕鬆 
Workload少 sem尾先有嘢做 佔分靠兩份文 reflection paper+ essay
Discussion 基本做咗就20%",3.7,0,2019/20,Summer,
48,48,GE1205,Green Economics,JOR Wing Shing,2020-08-24 19:20:00,綠色經濟學,"assignments can copy
1 quiz 1 group project
quiz not too difficult
2-3 days are enough to prepare the quiz even if you have not studied econ before
project find good ppl, workload will not be too heavy
quite hea but grade not too good
can recommend if b range is sufficient for you",3.3,1,2019/20,Summer,3
49,49,GE1129,Creative Photography,Phil Shek,2020-08-24 12:34:00,,完全唔知評分標準係點，又唔覆email,3,1,2018/19,SemB,
50,50,GE1353,"Science, Buddhism, and Life",alex,2020-08-24 00:51:00,,差唔多全部野都同佛教有關，同科學無關。個tutor癡迷佛教，唔上堂就突然send email過黎話自己要開會......交齊功課，上曬堂都係攞c，無語。,2,3,2019/20,Summer,
51,51,GE1205,Green Economics,Ho to ming,2020-08-23 23:30:00,綠色經濟學,"Dse econ 5* , 最後得B
自己諗",3,1,2017/18,SemB,
52,52,GE1226,Youth in a Changing Society,"Gloria, Gabriel",2020-08-23 22:15:00,,"冇soc sci底都讀得
上堂做discussion，1份individual essay同1份reflection paper
discussion都好簡單
individual essay基本上consultation問多啲 跟住搵多啲reference support自己個觀點就已經ok
reflection paper揀上堂講過嘅topic吹下自己睇法",3.7,0,2019/20,Summer,
53,53,GE1353,"Science, Buddhism, and Life",Alex Wong,2020-08-23 20:32:00,,"上堂OK有趣，Lecture讀同考的東西其實好少。
workload一般，每個星期有一份 2 A4 page 長Assignment。
但分數比得相對緊，好難攞A range。
我就讀得好hea，但本身有睇好多哲學同文學的書。
適合有哲學同宗教哲學底，想輕輕鬆鬆攞個B的人讀，
aim A range的人千奇唔好㨂。",3,2,2019/20,Summer,
54,54,GE2306,Energy and Technology,Prof Shek,2020-08-23 18:20:00,能源與科技,有science底(最好有修phy) 理論上都reg得 今次疫情問題無左groupwork 所以全部野都自己做 一份reading assignment below 500字 同埋啲review questions 各15% 都係係ppt搵得番答案同計數 mid term 20% exam 50% ppt有大部分答案 overall 8成8 A- 有拉curve 加油：）,3.7,1,2019/20,Summer,
55,55,GE1501,Chinese Civilisation - History and Philosophy,李磷,2020-08-23 18:16:00,中國文化－歷史與哲學,一科救全家，多謝李sir！,4,0,2019/20,Summer,
56,56,GE2239,"Food: Culture, Science and Society",Dr Chan Yuk Wah,2020-08-23 12:24:00,,"The teacher was very informed, and the assignments were quite interesting and interactive. I learned a lot about food science and how it benefits us in daily life. I even change my diet to vegetarian because of this course. Overall, it is a course that is worth everyone's credits.",3.7,1,2018/19,SemB,3
57,57,GE3108,"Language in Art, Invention and Inspiration",Webster,2020-08-23 12:20:00,,"The teacher was very helpful. The content might be a bit advance, but it would not be too difficult for those who paid attention in class. The midterm quiz and exam were quite easy too (open book). 
If you love linguistics, keep calm and take it!",3.7,1,2018/19,SemA,3
58,58,GE1501,Chinese Civilisation - History and Philosophy,"QIAN, Hua",2020-08-22 22:47:00,中國文化－歷史與哲學,"(This review is informative for Chinese and Taiwanese only, local and foreign friends may not refer to this nonsense comment :P)首先，如果你是對中國歷史（或馬克思史觀下的中國歷史）并不熟悉，例如中國的國際學生和台灣學生，我不會建議選擇普通話課程（ Summer Semester 并不提供英文課程，無奈選擇）。普通話 Session 會默認你已經經受過中國的歷史教育，並跳過相應的内容。在不瞭解相關知識的情況下，我個人很難理解課上的内容，且很難認同講師的一些政治觀點；因此這門課對我是非常痛苦。",3,3,2019/20,Summer,3
59,59,GE2324,The Art and Science of Data,"Helena Wong, Kenneth Lee",2020-08-22 15:36:00,數據的藝術和科學,"An interesting and useful course. Helena is very helpful and will answer you many questions. The most important part is the group project and you need to find good teammates. However, competition is so fierce that getting an A is very hard.",3.3,3,2019/20,Summer,3
60,60,GE2324,The Art and Science of Data,Helena Wong,2020-08-22 11:51:00,數據的藝術和科學,"Asgx2 16%
Midterm 20%
Group project 20%
Lab progress 4%
Exam 40%
Helena係一個好有心嘅lecturer，如果俾心機上堂啲嘢其實都唔難明，我係non cs major，都覺得幾容易上手，內容只係一啲基本嘅數學，最主要都係學logic，不過呢一科係拉curve，而且好多CS major嘅人，攞A range唔係太易，而且Midterm asg average都好高，project唔難做但係要俾多啲心機搵合適嘅data source，exam都幾簡單，應該有9成分，本來以為自己得A，點知最後有A+。",4.3,2,2019/20,Summer,3
61,61,GE1129,Creative Photography,Phil Shek,2020-08-22 11:13:00,,"I had the classes via ZOOM and there are only 3 assignments: 
1) Portrait 2) Decisive moment 3) Creative Landscape OR StorytellingI was an beginner at photography beforehand, so I was worried about my lack of technical knowledge, but as long as you have artistic sense, like understanding motif, conveying meaning etc, you are good to go. 
Light workload is a plus for this course too.",3.7,1,2019/20,Summer,3
62,62,GE2306,Energy and Technology,Chan Hung Shek and Jr-Hau (JH) He,2020-08-22 05:02:00,能源與科技,Professor Shek teaches the first half of the course and he is a very polite and helpful teacher. The course is fairly straightforward and going through the lecture notes carefully is enough to get a good grade. The second half of the course is taught by Jr-Hau (JH) He whose english is heavily accented but does answer any question you have.,4,2,2019/20,Summer,3
63,63,GE1320,Engineering Your Health,Many,2020-08-22 01:49:00,,總共有兩個quiz（30%），全部mc同埋幾個T/F，mc多選，係真嘅考理解，而唔係運氣，所以要認真溫書，因為會考到好仔細嘅觀念。project同report占40%，自己訂topic。揀自己鐘意嘅topic會幫助後邊嘅工作，好好做嘅話會學到好多野。,4.3,2,2019/20,Summer,
64,64,GE2306,Energy and Technology,Shek 仔,2020-08-21 23:32:00,能源與科技,"其實有Phy 底真係唔太使溫書, 唔上堂都得, 好少野做, only have 1 below 500 words reading assignement, + a few short question , + 1mid term+ exam 我mid term exam 都8成幾,都係得B+ 可能online exam D人拉高左curve, 不過輕鬆ge, reg 得過",3.3,1,2019/20,Summer,
65,65,GE1501,Chinese Civilisation - History and Philosophy,lecturer: 李果; tutor: 李果,2020-08-21 22:19:00,中國文化－歷史與哲學,"workload輕鬆.
派grade.
誠心推介.",3.7,1,2019/20,Summer,
66,66,GE2303,Save the Earth: Sustainable Development,Xiaowei LUO,2020-08-21 18:40:00,,"輕鬆，今次有得揀唔駛用BLM而去普通寫份green technology嘅essay ,所以assignment輕鬆好多。
要用greet拎啲data整份report同present,不過用greet就個個啲data一樣咁濟。唔會差得去邊.
quiz同exam 都係吹水野，答三條long question,而且因為唔考software,有幾課唔駛溫.",3.3,1,2019/20,Summer,
67,67,GE1320,Engineering Your Health,Kannie and many,2020-08-21 17:33:00,,"有bio底可以讀會比較輕鬆，但如果你係對人體結構比較好奇想當common sense 咁學下但係又冇Bio底，咁你要預咗花好多時間去吸收上堂去聽同埋溫習佢講嘅嘢，佢每一堂都係唔同老師，教嘅嘢算係深入，連你諗唔到嘅一幅圖一堆唔為意嘅字都可以考到，個人認為microarray bioPhotonics 係最難。呢個課程會講好多topic但係每一個topic都唔會講好入。有2次closed book Mc quiz，出嘅嘢深入但係唔知點解有人係可以好高分，我自己兩次都係below mean and 50% of full mark。
至於40% group project ，最好搵有底嘅隊友，Topic自訂，但係由於佢唔會比template 唔會比suggestion 話邊一個topic好，自訂題目要小心啲，做嘅過程要不斷email問佢問題，因為唔問就唔會知道佢嘅要求同埋想你寫啲乜嘢。Btw佢本身覆email都算快。
30% 考試會可以俾你帶一張貓紙。建議快啲溫書諗吓自己有啲咩唔識寫落嗰張紙度，程度同quiz差唔多。
如果你係冇底嘅話唔係幾建議讀，有底會輕鬆啲",2.7,3,2019/20,Summer,
68,68,GE1501,Chinese Civilisation - History and Philosophy,李果,2020-08-21 15:53:00,中國文化－歷史與哲學,"同意上post既意見，教學認真和用心。
讀cciv，揀雙李。",4.3,1,2019/20,Summer,
69,69,GE1401,University English,Flora,2020-08-21 13:46:00,大學英語,"Flora is a friendly, helpful and diligent instructor, imparting some necessary writing things to me. 
But to do achieve a good grade, you may expand your reading after classes since what taught in lectures is somehow basic and simple.
Workload is okay, don't worry about it.",3.7,1,2019/20,Summer,3
70,70,GE1501,Chinese Civilisation - History and Philosophy,李果,2020-08-21 11:43:00,中國文化－歷史與哲學,"2019/20 Summer老師好有心機教，我覺得lecture同tutorial都一樣幾好
lecture主要係聽書然後做堂課
tutorial方面，project嘅大題目可以用佢比嘅方向或者自己嗰組揀其他有關呢科嘅題目
口頭報告後，老師好清晰同有耐性咁向我哋組講解final paper有邊啲地方可以改進，然後佢認真解答我哋嘅疑問，同埋主動比有建設性嘅意見,啲意見真係好有用!",3.7,2,2019/20,Summer,
71,71,GE1342,Light: from Double Rainbows to Optical Fibers,Chow Yuk Tak,2020-08-21 04:06:00,,percent 問好多野,0,3,2019/20,Summer,
72,72,GE1353,"Science, Buddhism, and Life",Dr. Alex Wong,2020-08-21 01:07:00,,"I am responding to the student who wrote in English and got a B grade. Absolutely double-standard lecturer. Being strict and stubborn on student’s deadlines and arrangements (with little mercy) while failing to redeem his own promises. Always say “I am a strict teacher” but being not strict for his words. The grade is already there. But Alex if you see this, would you just be a little responsible and tell us what happened, simply by writing a post on canvas? Such a behaviour is unacceptable even as a student, let alone a Uni lecturer. Please be a man of your words, not a coward like this.",,2,2019/20,Summer,3
